indicator,type,first_seen,last_seen,comment
84.42.223.12,ipv4,3/19/2020,3/24/2020,"H2Miner,compromised host"
86.215.138.9,ipv4,3/19/2020,3/24/2020,"H2Miner,compromised host"
90.152.205.199,ipv4,3/19/2020,3/24/2020,"H2Miner,compromised host"
111.67.203.42,ipv4,3/18/2020,3/24/2020,"H2Miner,compromised host"
118.150.212.111,ipv4,3/18/2020,3/24/2020,"H2Miner,compromised host"
178.128.75.244,ipv4,3/18/2020,3/24/2020,"H2Miner,compromised host"
103.142.102.16,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
118.169.75.134,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
119.3.227.109,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
121.36.10.163,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
129.28.181.238,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
168.176.112.255,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
212.64.79.175,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
3.93.61.102,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
47.94.89.0,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
83.55.188.53,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
86.119.41.243,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
94.191.111.68,ipv4,3/17/2020,3/24/2020,"H2Miner,compromised host"
101.200.154.43,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
109.7.212.119,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
120.78.90.101,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
144.91.114.251,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
45.77.200.93,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
47.101.61.67,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
47.106.32.247,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
49.235.161.70,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
77.78.93.180,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
92.167.213.211,ipv4,3/16/2020,3/24/2020,"H2Miner,compromised host"
104.248.93.124,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
110.185.160.81,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
111.229.169.139,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
114.116.230.1,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
121.36.0.70,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
123.56.81.186,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
13.74.46.171,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
185.251.163.68,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
193.180.164.226,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
203.195.213.204,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
211.224.246.115,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
47.104.27.0,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
47.114.72.214,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
47.93.229.185,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
47.94.162.83,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
77.71.40.247,ipv4,3/15/2020,3/24/2020,"H2Miner,compromised host"
125.32.114.217,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
