host,type,connected_redis_instances,firstseen,lastseen,ports,commands
137.144.95.149,redis_scanner,1,2020-09-05 00:00:00,2020-09-05 00:00:00,(high ports),[u'client']
137.143.14.153,redis_scanner,1,2020-09-11 00:00:00,2020-09-11 00:00:00,(high ports),[u'client']
137.142.85.58,redis_scanner,1,2020-09-09 00:00:00,2020-09-09 00:00:00,(high ports),[u'client']
137.141.119.55,redis_scanner,1,2020-09-10 00:00:00,2020-09-10 00:00:00,(high ports),[u'client']
137.138.190.228,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
137.134.221.198,redis_scanner,1,2020-09-09 00:00:00,2020-09-09 00:00:00,(high ports),[u'client']
137.132.71.155,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
137.128.65.214,redis_scanner,1,2020-09-01 00:00:00,2020-09-01 00:00:00,(high ports),[u'client']
137.118.109.185,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
137.115.98.36,redis_scanner,1,2020-09-08 00:00:00,2020-09-08 00:00:00,(high ports),[u'client']
137.110.207.86,redis_scanner,1,2020-09-12 00:00:00,2020-09-12 00:00:00,(high ports),[u'client']
137.108.4.200,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
137.103.77.95,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
137.10.146.58,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
136.99.226.142,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
136.97.126.209,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
136.88.101.228,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
136.85.99.167,redis_scanner,1,2020-09-11 00:00:00,2020-09-11 00:00:00,(high ports),[u'client']
136.85.181.114,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),[u'client']
136.84.231.101,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
136.8.92.193,redis_scanner,1,2020-08-28 00:00:00,2020-08-28 00:00:00,(high ports),[u'client']
136.8.63.209,redis_scanner,1,2020-08-30 00:00:00,2020-08-30 00:00:00,(high ports),[u'client']
136.79.204.167,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
136.75.114.59,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
136.55.176.170,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
136.50.61.12,redis_scanner,1,2020-09-20 00:00:00,2020-09-20 00:00:00,(high ports),[u'client']
136.49.18.114,redis_scanner,1,2020-09-18 00:00:00,2020-09-18 00:00:00,(high ports),[u'client']
136.44.246.144,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
136.38.255.194,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.38.142.71,redis_scanner,1,2020-09-08 00:00:00,2020-09-08 00:00:00,(high ports),[u'client']
136.36.124.167,redis_scanner,1,2020-09-13 00:00:00,2020-09-13 00:00:00,(high ports),[u'client']
136.35.195.6,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
136.31.201.193,redis_scanner,1,2020-08-25 00:00:00,2020-08-25 00:00:00,(high ports),[u'client']
136.28.147.241,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
136.251.12.191,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.251.111.144,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.248.158.82,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.243.59.168,redis_scanner,1,2020-09-17 00:00:00,2020-09-17 00:00:00,(high ports),"[u'info', u'psubscribe', u'lpop']"
136.234.244.119,redis_scanner,1,2020-09-21 00:00:00,2020-09-21 00:00:00,(high ports),[u'client']
136.232.56.56,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
136.232.43.135,redis_scanner,1,2020-08-28 00:00:00,2020-08-28 00:00:00,(high ports),[u'client']
136.231.115.93,redis_scanner,1,2020-09-06 00:00:00,2020-09-06 00:00:00,(high ports),[u'client']
136.231.108.228,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.228.1.237,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
136.227.59.237,redis_scanner,1,2020-09-10 00:00:00,2020-09-10 00:00:00,(high ports),[u'client']
136.213.154.44,redis_scanner,1,2020-09-16 00:00:00,2020-09-16 00:00:00,(high ports),[u'client']
136.211.132.94,redis_scanner,1,2020-08-29 00:00:00,2020-08-29 00:00:00,(high ports),[u'client']
136.207.128.231,redis_scanner,1,2020-09-06 00:00:00,2020-09-06 00:00:00,(high ports),[u'client']
136.205.85.109,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),"[u'info', u'client']"
136.204.154.82,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.201.68.188,redis_scanner,1,2020-09-23 00:00:00,2020-09-23 00:00:00,(high ports),[u'client']
136.20.254.71,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
136.198.162.209,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
136.192.139.72,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.191.33.119,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.191.189.183,redis_scanner,1,2020-08-27 00:00:00,2020-08-27 00:00:00,(high ports),[u'client']
136.19.213.39,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
136.185.210.198,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),"[u'info', u'get']"
136.18.235.39,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
136.176.171.37,redis_scanner,1,2020-08-24 00:00:00,2020-08-24 00:00:00,(high ports),[u'client']
136.164.176.37,redis_scanner,1,2020-08-31 00:00:00,2020-08-31 00:00:00,(high ports),[u'client']
136.162.159.21,redis_scanner,1,2020-09-14 00:00:00,2020-09-14 00:00:00,(high ports),[u'client']
136.157.163.253,redis_scanner,1,2020-08-27 00:00:00,2020-08-27 00:00:00,(high ports),[u'client']
136.151.110.23,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
136.15.91.84,redis_scanner,1,2020-09-11 00:00:00,2020-09-11 00:00:00,(high ports),[u'client']
136.148.218.171,redis_scanner,1,2020-09-07 00:00:00,2020-09-07 00:00:00,(high ports),[u'client']
136.148.128.42,redis_scanner,1,2020-09-02 00:00:00,2020-09-02 00:00:00,(high ports),[u'client']
136.139.245.67,redis_scanner,1,2020-09-21 00:00:00,2020-09-21 00:00:00,(high ports),[u'client']
136.136.43.167,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.135.251.125,redis_scanner,1,2020-09-07 00:00:00,2020-09-07 00:00:00,(high ports),[u'client']
136.133.128.202,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
136.129.229.135,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.125.6.41,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
136.117.15.96,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
136.114.244.170,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
136.108.10.94,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
136.104.228.41,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),[u'client']
136.101.207.192,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
136.100.43.224,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
136.100.231.55,redis_scanner,1,2020-09-13 00:00:00,2020-09-13 00:00:00,(high ports),[u'client']
135.98.136.10,redis_scanner,1,2020-09-20 00:00:00,2020-09-20 00:00:00,(high ports),[u'client']
135.96.120.200,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
135.94.194.178,redis_scanner,1,2020-09-17 00:00:00,2020-09-17 00:00:00,(high ports),[u'client']
135.94.165.149,redis_scanner,1,2020-09-17 00:00:00,2020-09-17 00:00:00,(high ports),[u'client']
135.93.93.104,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
135.90.81.23,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
135.88.173.18,redis_scanner,1,2020-09-20 00:00:00,2020-09-20 00:00:00,(high ports),[u'client']
135.86.66.238,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
135.86.153.69,redis_scanner,1,2020-09-10 00:00:00,2020-09-10 00:00:00,(high ports),[u'client']
135.83.184.17,redis_scanner,1,2020-09-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'client']
135.8.140.47,redis_scanner,1,2020-09-07 00:00:00,2020-09-07 00:00:00,(high ports),[u'client']
135.79.162.225,redis_scanner,1,2020-09-09 00:00:00,2020-09-09 00:00:00,(high ports),[u'client']
